NCTNumber,Title,Acronym,Status,Conditions,Interventions,OutcomeMeasures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,FundedBys,StudyType,StudyDesigns,OtherIDs,StartDate,PrimaryCompletionDate,CompletionDate,FirstPosted,ResultsFirstPosted,LastUpdatePosted,Locations,Rank,StudyDocuments,StudyResults,URL
NCT03929120,Allogeneic Bone Marrow Mesenchymal Stem Cells for Patients With Interstitial Lung Disease (ILD) & Connective Tissue Disorders (CTD),,Recruiting,Interstitial Lung Disease|Connective Tissue Diseases,Biological: Allogeneic Bone Marrow Derived Mesenchymal Stem Cells (BMD-MSCs),Adverse Events,Mayo Clinic,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,10.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-007216,November 2019,May 2020,December 2020,"April 26, 2019",,"October 10, 2019","Mayo Clinic in Florida, Jacksonville, Florida, United States",11,,No Results Available,https://ClinicalTrials.gov/show/NCT03929120
NCT01849887,Safety of Escalating Doses of Intravenous Bone Marrow-Derived Mesenchymal Stem Cells in Patients With a New Ischemic Stroke,,Withdrawn,Ischemic Stroke,Biological: bone marrow-derived mesenchymal stem cells|Drug: Placebo,Number of Adverse Events,"University of California, Irvine",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,0.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",DR3-07521,January 2016,January 2016,January 2016,"May 9, 2013",,"January 22, 2016","University of California Irvine Medical Center, Orange, California, United States",12,,No Results Available,https://ClinicalTrials.gov/show/NCT01849887
NCT03487731,Allogeneic Human Mesenchymal Stem Cell Injection in PAtieNts With FaceTogenic Back Pain,VALIANT,Not yet recruiting,Facetogenic Back Pain|Back Pain,Biological: Allogeneic Human Mesenchymal Stem Cells (hMSCs)|Drug: Placebo,Incidence of any treatment-emergent serious adverse events|Difference in subject quality of life assessment - SF-12|Difference in subject quality of life assessment - Oswestry Low Back Pain|Death from any cause.|Change in pain using the Numeric rating scale,Joshua M Hare|University of Miami,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20180018,"December 1, 2019","December 1, 2025","December 1, 2025","April 4, 2018",,"July 23, 2019","ISCI / University of Miami Miller School of Medicine, Miami, Florida, United States",13,,No Results Available,https://ClinicalTrials.gov/show/NCT03487731
NCT03371329,Mesenchymal Stem Cells Therapy in Patients With Recent Intracerebral Hemorrhage,,Recruiting,Hemorrhagic Stroke|Intracerebral Hemorrhage,Biological: MSC,Occurrence of adverse events|Changes in neurological function test,Mayo Clinic,All,"18 Years and older   (Adult, Older Adult)",Phase 1,12.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-003524,"December 12, 2017","December 12, 2020","December 12, 2020","December 13, 2017",,"April 22, 2019","Mayo Clinic in Florida, Jacksonville, Florida, United States",14,,No Results Available,https://ClinicalTrials.gov/show/NCT03371329
NCT02677350,AlloGeneic Human Mesenchymal Stem Cells (hMSC) in PAtients With FistuLizing Crohn's Disease Via PErifistula iNjEctions (GALENE),GALENE,Withdrawn,Crohn's Disease|Fistulizing Crohn's Disease|Stem Cells,Drug: Allogeneic Bone Marrow derived Human Mesenchymal Stem Cells (hMSCs),"Evaluation of treatment emergent adverse events from the bone marrow-derived allogeneic mesenchymal stem cells implant|Clinically: to assess changes in the Crohn's Disease Activity Index (CDAI), the Perianal Disease Activity Index (PDAI).|Endoscopic assessment of rectum using a limited simplified endoscopic activity score for Crohn's disease (SES-CD) to evaluate extent and severity of ulcers.|Radiologic assessment using MRI|Evaluate symptomatic patients.|Evaluate the effect of local treatment with allogeneic bmMSCs using the short Inflammatory Bowel Disease Questionnaire (sIBDQ)|Evaluate the effect of local treatment with allogeneic bmMSCs using the Short Form (SF)-36 score|C-reactive protein (CRP)|Major Adverse Events",Joshua M Hare|University of Miami,All,"18 Years and older   (Adult, Older Adult)",Phase 1,0.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20150965,"December 1, 2019",December 2025,December 2026,"February 9, 2016",,"June 24, 2019","Univeristy of Miami Miller School of Medicine, Miami, Florida, United States",15,,No Results Available,https://ClinicalTrials.gov/show/NCT02677350
NCT01609283,A Dose-escalation Safety Trial for Intrathecal Autologous Mesenchymal Stem Cell Therapy in Amyotrophic Lateral Sclerosis,,Completed,Amyotrophic Lateral Sclerosis,Biological: autologous mesenchymal stem cells,Number of patients with dose-limiting toxicities|Number of patients with adverse events|Change in serum sedimentation rate|Change in C-reactive protein levels|Change in complete blood counts|Change in total nucleated cell count in cerebrospinal fluid (CSF)|Change in protein level in cerebrospinal fluid (CSF)|Number of patients with presence of cancer cells in their cerebrospinal fluid (CSF),Mayo Clinic,All,"18 Years and older   (Adult, Older Adult)",Phase 1,27.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,11-008415,May 2012,"January 31, 2019","January 31, 2019","May 31, 2012",,"September 2, 2019","Mayo Clinic, Rochester, Minnesota, United States",16,,No Results Available,https://ClinicalTrials.gov/show/NCT01609283
NCT01983709,Allogeneic Human Bone Marrow Derived Mesenchymal Stem Cells in Localized Prostate Cancer,MSC,Terminated,Prostate Cancer,Biological: Allogeneic Human Mesenchymal Stem Cells,Amount of systemically infused (MSC) DNA relative to recipient DNA at sites of prostate cancer in men with localized adenocarcinoma of the prostate that are scheduled to undergo a prostatectomy|Feasibility of infusing MSCs into men with localized prostate cancer who plan to undergo a prostatectomy.|Determine the proportion of MSC to recipient DNA in the peripheral blood|Determine the proportion of MSC to recipient DNA within the seminal vesicle.|Changes in the Sexual Health Inventory for Men (SHIM) survey post-prostatectomy.|Change in urinary function as assessed by the Expanded Prostate Cancer Index Composite (EPIC) survey post-prostatectomy|Change in bowel habits as assessed by the Expanded Prostate Cancer Index Composite (EPIC) survey post-prostatectomy|Change in sexual function as assessed by the Expanded Prostate Cancer Index Composite (EPIC) survey post-prostatectomy|Change in hormonal function as assessed by the Expanded Prostate Cancer Index Composite (EPIC) survey post-prostatectomy|Change in overall satisfaction as assessed by the Expanded Prostate Cancer Index Composite (EPIC) survey post-prostatectomy|Safety as assessed by number of participants experiencing adverse events|Safety as assessed by number of participants experiencing serious adverse events|Safety as assessed by number of participants experiencing treatment-related adverse events,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Male,"18 Years to 100 Years   (Adult, Older Adult)",Phase 1,7.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,J1348|NA_00083720,October 2013,June 2017,June 2017,"November 14, 2013",,"July 16, 2018","Johns Hopkins Hospital, Baltimore, Maryland, United States",17,,No Results Available,https://ClinicalTrials.gov/show/NCT01983709
NCT02068794,MV-NIS Infected Mesenchymal Stem Cells in Treating Patients With Recurrent Ovarian Cancer,,Recruiting,Malignant Ovarian Brenner Tumor|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Adenocarcinoma|Ovarian Seromucinous Carcinoma|Ovarian Serous Adenocarcinoma|Ovarian Transitional Cell Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Undifferentiated Ovarian Carcinoma,Other: Laboratory Biomarker Analysis|Procedure: Mesenchymal Stem Cell Transplantation|Biological: Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter,"MTD, defined as the dose level below the lowest dose that induces dose-limiting toxicity in at least one-third of patients (at least 2 of a maximum of 6 new patients) (Phase I)|Number and severity of adverse events (Phase I)|Overall toxicity incidence (Phase I)|Proportion of patients alive and progression-free at 4 months (Phase II)|Toxicity profiles by dose level and patient (Phase I)|Maximum grade for each type of toxicity (Phase II)|Overall survival (Phase II)|Progression free survival (Phase II)|Tumor response defined as complete response or partial response (Phase II)",Mayo Clinic|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,54.0,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MC1266|NCI-2014-00016|P30CA015083,March 2014,"March 10, 2021","March 10, 2021","February 21, 2014",,"April 8, 2019","Mayo Clinic, Rochester, Minnesota, United States",18,,No Results Available,https://ClinicalTrials.gov/show/NCT02068794
NCT02675556,Allogeneic Human Mesenchymal Stem Cells (hMSCs) Infusion in Patients With Treatment Resistant Depression,ANU,Terminated,Treatment Resistant Depression,Drug: Allo-hMSCs|Drug: Placebo,Incidence of any treatment-emergent serious adverse events (TE-SAEs)|Reduction of Inflammation,Joshua M Hare|University of Miami,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,1.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",20140917,"October 31, 2017","March 26, 2019","March 26, 2019","February 5, 2016",,"April 1, 2019","University of Miami Miller School of Medicine, Miami, Florida, United States",19,,No Results Available,https://ClinicalTrials.gov/show/NCT02675556
NCT04087889,Individual Patient Expanded Access IND of Hope Biosciences First Blood Relative Allogeneic Adipose-derived Mesenchymal Stem Cells (HB-adMSCs) for Pancreatic Cancer,,No longer available,Pancreatic Cancer,"Drug: Hope Biosciences Allogeneic, First Blood Relative Adipose-Derived Mesenchymal Stem Cells",,Hope Biosciences,Male,"Child, Adult, Older Adult",,,Industry,Expanded Access:Individual Patients,,Pancreatic Cancer,,,,"September 12, 2019",,"September 25, 2019","Hope Biosciences, Sugar Land, Texas, United States",20,,No Results Available,https://ClinicalTrials.gov/show/NCT04087889
NCT02808208,Autologous Adipose Derived Mesenchymal Stem Cells (AMSC) in Reducing Hemodialysis Arteriovenous Fistula Failure,,Recruiting,End Stage Renal Disease (ESRD)|Vascular Access Complication,Biological: Adipose Derived Mesenchymal Stem Cells (AMSC),Hemodialysis outflow vein diameter|Hemodialysis AVF Blood flow,Mayo Clinic,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,44.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment,15-009053,"June 7, 2017",July 2023,July 2023,"June 21, 2016",,"February 6, 2019","Mayo Clinic, Rochester, Minnesota, United States",21,,No Results Available,https://ClinicalTrials.gov/show/NCT02808208
NCT03265808,Allogeneic HUman Mesenchymal Stem Cell InfusioN Versus Placebo in Subjects With Alcohol Use Disorder and Major DepreSsion.,Alaunus,Recruiting,Major Depression|Alcohol Use Disorder,Drug: allogeneic human mesenchymal stem cells (allo-hMSCs)|Drug: Placebo,treatment emergent-serious adverse events|Reduction of Inflammation|Reduction in Depressive Symptoms|Reduction of alcohol use|Reduction in Anhedonia|Improvements in quality of life,Joshua M Hare|National Institute on Alcohol Abuse and Alcoholism (NIAAA)|University of Miami,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,80.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20170674|1R01AA024933-01A1,"March 18, 2018",February 2025,February 2026,"August 29, 2017",,"May 7, 2019","Interdisciplinary stem cell institute (ISCI), Miami, Florida, United States",22,,No Results Available,https://ClinicalTrials.gov/show/NCT03265808
NCT02625246,Safety and Potential Efficacy of Human Mesenchymal Stem Cells in Non‐Cystic Fibrosis Bronchiectasis,CELEB,Completed,Bronchiectasis,Biological: hMSCs,Number of Participant with treatment emergent serious adverse events|Difference in Colony Forming Units (CFUs) in semiquantitative culture of sputum|rate of decline of lung function|frequency of acute exacerbations|reported dyspnea and quality of life assessment|death from any cause,Marilyn Glassberg|University of Miami,All,"30 Years to 87 Years   (Adult, Older Adult)",Phase 1,6.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20150627,"February 4, 2016","May 15, 2019","May 15, 2019","December 9, 2015",,"August 27, 2019","University of Miami Hospitals & Clinics, Miami, Florida, United States",23,,No Results Available,https://ClinicalTrials.gov/show/NCT02625246
NCT04064879,The Use of Autologous Mesenchymal Stem Cell Preparation for Treatment of Refractory Migraine,,Suspended,"Chronic Migraine, Headache",Other: AD-SVF,Adverse Event Reporting|Headache Diary|Headache Impact Test (HIT-6),Neurological Associates of West Los Angeles|Cell Surgical Network Inc.,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,10.0,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ICSS-2018-014,"August 16, 2018","August 15, 2021","August 16, 2022","August 22, 2019",,"August 22, 2019","Neurological Associates of West Los Angeles, Santa Monica, California, United States",24,,No Results Available,https://ClinicalTrials.gov/show/NCT04064879
NCT03477942,Impact of Mesenchymal Stem Cells in Knee Osteoarthritis,,Recruiting,Musculoskeletal Pain|Knee Osteoarthritis|Cartilage Injury|Cartilage Degeneration,Biological: Autologous Mesenchymal Stem Cells,"Primary Endpoint: Incidence of treatment emergent major adverse events directly related to MSC injection|Secondary Endpoint: Development of Pain following injection based on Visual Analog Scale scoring.|Secondary Endpoint: Clinical Evaluation of Injection based on functional outcomes scoring using KOOS, IKDC and Lysholm scoring scales.|Secondary Endpoint: Reparative potential of intra-articular MSCs based on improvement in cartilage quality using MRI.",University Hospitals Cleveland Medical Center|Case Western Reserve University,All,18 Years to 60 Years   (Adult),Phase 1,16.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,JV 1.1,"October 1, 2018",October 2019,December 2019,"March 27, 2018",,"April 17, 2019","University Hospital Cleveland Medical Center, Cleveland, Ohio, United States",25,,No Results Available,https://ClinicalTrials.gov/show/NCT03477942
NCT02941666,Human Mesenchymal Stem Cells in the Synovial Fluid of the Hip,,Recruiting,Osteonecrosis,,The quantity of mesenchymal stem cells present in the synovial fluid of patients with precollapse ON of the femoral head and postcollapse ON of the femoral head compared to patients without intraarticular hip pathology.,Mayo Clinic,All,"18 Years to 90 Years   (Adult, Older Adult)",,60.0,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,16-002241,September 2016,November 2021,November 2021,"October 21, 2016",,"March 7, 2019","Mayo Clinic, Rochester, Minnesota, United States",26,,No Results Available,https://ClinicalTrials.gov/show/NCT02941666
NCT00813969,Autologous Mesenchymal Stem Cell (MSC) Transplantation in MS,,Completed,Relapsing-Remitting Multiple Sclerosis|Secondary Progressive Multiple Sclerosis|Progressive Relapsing Multiple Sclerosis,Biological: Autologous mesenchymal stem cell transplantation,"To evaluate the feasibility of culturing MSCs, and infusion-related safety and tolerability of autologous MSC transplantation over one month in patients with relapsing forms of MS|To evaluate effects on MS disease activity measured by the number of Gd-enhancing brain MRI lesions|To evaluate safety and tolerability of autologous MSC transplantation over 6 months",The Cleveland Clinic|University Hospitals Cleveland Medical Center,All,18 Years to 55 Years   (Adult),Phase 1,24.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MS-MSC-001,March 2011,January 2014,May 2014,"December 23, 2008",,"March 30, 2016","Cleveland Clinic Mellen Center, Cleveland, Ohio, United States",27,,No Results Available,https://ClinicalTrials.gov/show/NCT00813969
NCT03308565,Adipose Stem Cells for Traumatic Spinal Cord Injury,CELLTOP,Recruiting,Spinal Cord Injuries|Paralysis,"Biological: Autologous, Adipose derived Mesenchymal Stem Cells",Incidence of acute adverse events|Incidence of delayed adverse events|Severity of adverse events|Relationship of adverse events to study drug|Incidence of serious adverse events (SAE)|Change in sensory and motor function following completion of treatment as measured by the American Spinal Injury Association (ASIA) Impairment Scale (AIS)|Change in sensory and motor function following completion of treatment as measured by motor evoked potentials (MEP)|Change in sensory and motor function following completion of treatment as measured by Somatosensory Evoked Potentials (SSEPs)|Number of subjects who develop a new pathologic mass at the spinal cord area of injection or anywhere along the spinal cord.|Change in number of red blood cells following treatment|Change in white blood cells with differential following treatment|Change in number of platelets following treatment|Change in Serum C-Reactive Protein (CRP)|Change in Erythrocyte Sedimentation Rate (ESR)|Change in Blood Urea Nitrogen (BUN)|Change in Creatinine|Change in Sodium|Change in Potassium|Change in Chloride|Change in Aspartate Aminotransferase (AST)|Change in Glucose|Change in Carbon Dioxide,Allan Dietz|Mayo Clinic,All,"18 Years and older   (Adult, Older Adult)",Phase 1,10.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,17-004621,"December 5, 2017",November 2022,November 2023,"October 12, 2017",,"March 7, 2019","Mayo Clinic, Rochester, Minnesota, United States",28,,No Results Available,https://ClinicalTrials.gov/show/NCT03308565
NCT01142856,Mesenchymal Stem Cells for Treatment of Amyotrophic Lateral Sclerosis (ALS),,Completed,Amyotrophic Lateral Sclerosis,Biological: autologous mesenchymal stem cells,Safety|Neurologic disability score,Mayo Clinic,All,"18 Years and older   (Adult, Older Adult)",Phase 1,1.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,09-001995,June 2010,April 2011,April 2011,"June 11, 2010",,"May 3, 2012","Mayo Clinic, Rochester, Minnesota, United States",29,,No Results Available,https://ClinicalTrials.gov/show/NCT01142856
